date,value,value_classification
2025-09-30,43,Neutral
2025-09-29,39,Fear
2025-09-28,34,Fear
2025-09-27,34,Fear
2025-09-26,32,Fear
2025-09-25,41,Neutral
2025-09-24,39,Fear
2025-09-23,40,Neutral
2025-09-22,47,Neutral
2025-09-21,48,Neutral
2025-09-20,48,Neutral
2025-09-19,52,Neutral
2025-09-18,51,Neutral
2025-09-17,51,Neutral
2025-09-16,50,Neutral
2025-09-15,51,Neutral
2025-09-14,52,Neutral
2025-09-13,53,Neutral
2025-09-12,50,Neutral
2025-09-11,47,Neutral
2025-09-10,43,Neutral
2025-09-09,44,Neutral
2025-09-08,42,Neutral
2025-09-07,40,Neutral
2025-09-06,41,Neutral
2025-09-05,41,Neutral
2025-09-04,44,Neutral
2025-09-03,42,Neutral
2025-09-02,39,Fear
2025-09-01,39,Fear
2025-08-31,40,Neutral
2025-08-30,39,Fear
2025-08-29,47,Neutral
2025-08-28,45,Neutral
2025-08-27,47,Neutral
2025-08-26,43,Neutral
2025-08-25,50,Neutral
2025-08-24,53,Neutral
2025-08-23,56,Neutral
2025-08-22,46,Neutral
2025-08-21,50,Neutral
2025-08-20,45,Neutral
2025-08-19,53,Neutral
2025-08-18,56,Neutral
2025-08-17,57,Neutral
2025-08-16,57,Neutral
2025-08-15,59,Neutral
2025-08-14,68,Greed
2025-08-13,63,Greed
2025-08-12,60,Greed
2025-08-11,62,Greed
2025-08-10,59,Neutral
2025-08-09,58,Neutral
2025-08-08,59,Neutral
2025-08-07,54,Neutral
2025-08-06,52,Neutral
2025-08-05,55,Neutral
2025-08-04,52,Neutral
2025-08-03,48,Neutral
2025-08-02,51,Neutral
2025-08-01,57,Neutral
2025-07-31,62,Greed
2025-07-30,63,Greed
2025-07-29,63,Greed
2025-07-28,67,Greed
2025-07-27,64,Greed
2025-07-26,64,Greed
2025-07-25,66,Greed
2025-07-24,67,Greed
2025-07-23,70,Greed
2025-07-22,67,Greed
2025-07-21,67,Greed
2025-07-20,68,Greed
2025-07-19,69,Greed
2025-07-18,71,Greed
2025-07-17,70,Greed
2025-07-16,68,Greed
2025-07-15,70,Greed
2025-07-14,70,Greed
2025-07-13,68,Greed
2025-07-12,69,Greed
2025-07-11,67,Greed
2025-07-10,58,Neutral
2025-07-09,52,Neutral
2025-07-08,50,Neutral
2025-07-07,52,Neutral
2025-07-06,50,Neutral
2025-07-05,51,Neutral
2025-07-04,55,Neutral
2025-07-03,54,Neutral
2025-07-02,46,Neutral
2025-07-01,50,Neutral
2025-06-30,52,Neutral
2025-06-29,50,Neutral
2025-06-28,49,Neutral
2025-06-27,49,Neutral
2025-06-26,50,Neutral
2025-06-25,48,Neutral
2025-06-24,47,Neutral
2025-06-23,37,Fear
2025-06-22,40,Neutral
2025-06-21,43,Neutral
2025-06-20,48,Neutral
2025-06-19,48,Neutral
2025-06-18,48,Neutral
2025-06-17,53,Neutral
2025-06-16,51,Neutral
2025-06-15,50,Neutral
2025-06-14,52,Neutral
2025-06-13,54,Neutral
2025-06-12,61,Greed
2025-06-11,65,Greed
2025-06-10,64,Greed
2025-06-09,55,Neutral
2025-06-08,55,Neutral
2025-06-07,52,Neutral
2025-06-06,46,Neutral
2025-06-05,55,Neutral
2025-06-04,57,Neutral
2025-06-03,58,Neutral
2025-06-02,57,Neutral
2025-06-01,56,Neutral
2025-05-31,55,Neutral
2025-05-30,61,Greed
2025-05-29,65,Greed
2025-05-28,68,Greed
2025-05-27,68,Greed
2025-05-26,69,Greed
2025-05-25,67,Greed
2025-05-24,67,Greed
2025-05-23,76,Greed
2025-05-22,73,Greed
2025-05-21,69,Greed
2025-05-20,68,Greed
2025-05-19,71,Greed
2025-05-18,66,Greed
2025-05-17,68,Greed
2025-05-16,69,Greed
2025-05-15,71,Greed
2025-05-14,74,Greed
2025-05-13,71,Greed
2025-05-12,73,Greed
2025-05-11,75,Greed
2025-05-10,71,Greed
2025-05-09,70,Greed
2025-05-08,53,Neutral
2025-05-07,53,Neutral
2025-05-06,50,Neutral
2025-05-05,49,Neutral
2025-05-04,53,Neutral
2025-05-03,56,Neutral
2025-05-02,55,Neutral
2025-05-01,51,Neutral
2025-04-30,52,Neutral
2025-04-29,53,Neutral
2025-04-28,51,Neutral
2025-04-27,53,Neutral
2025-04-26,53,Neutral
2025-04-25,52,Neutral
2025-04-24,53,Neutral
2025-04-23,52,Neutral
2025-04-22,38,Fear
2025-04-21,34,Fear
2025-04-20,33,Fear
2025-04-19,32,Fear
2025-04-18,32,Fear
2025-04-17,30,Fear
2025-04-16,29,Fear
2025-04-15,31,Fear
2025-04-14,29,Fear
2025-04-13,32,Fear
2025-04-12,27,Fear
2025-04-11,21,Fear
2025-04-10,25,Fear
2025-04-09,15,Extreme fear
2025-04-08,19,Extreme fear
2025-04-07,17,Extreme fear
2025-04-06,27,Fear
2025-04-05,27,Fear
2025-04-04,25,Fear
2025-04-03,24,Fear
2025-04-02,29,Fear
2025-04-01,24,Fear
2025-03-31,24,Fear
2025-03-30,24,Fear
2025-03-29,27,Fear
2025-03-28,33,Fear
2025-03-27,33,Fear
2025-03-26,34,Fear
2025-03-25,34,Fear
2025-03-24,31,Fear
2025-03-23,27,Fear
2025-03-22,27,Fear
2025-03-21,27,Fear
2025-03-20,31,Fear
2025-03-19,23,Fear
2025-03-18,25,Fear
2025-03-17,22,Fear
2025-03-16,24,Fear
2025-03-15,22,Fear
2025-03-14,18,Extreme fear
2025-03-13,21,Fear
2025-03-12,19,Extreme fear
2025-03-11,15,Extreme fear
2025-03-10,17,Extreme fear
2025-03-09,24,Fear
2025-03-08,25,Fear
2025-03-07,30,Fear
2025-03-06,30,Fear
2025-03-05,25,Fear
2025-03-04,24,Fear
2025-03-03,39,Fear
2025-03-02,22,Fear
2025-03-01,20,Fear
2025-02-28,21,Fear
2025-02-27,20,Fear
2025-02-26,26,Fear
2025-02-25,29,Fear
2025-02-24,40,Neutral
2025-02-23,40,Neutral
2025-02-22,38,Fear
2025-02-21,43,Neutral
2025-02-20,40,Neutral
2025-02-19,37,Fear
2025-02-18,38,Fear
2025-02-17,38,Fear
2025-02-16,41,Neutral
2025-02-15,41,Neutral
2025-02-14,38,Fear
2025-02-13,40,Neutral
2025-02-12,35,Fear
2025-02-11,37,Fear
2025-02-10,35,Fear
2025-02-09,35,Fear
2025-02-08,35,Fear
2025-02-07,35,Fear
2025-02-06,35,Fear
2025-02-05,38,Fear
2025-02-04,45,Neutral
2025-02-03,39,Fear
2025-02-02,47,Neutral
2025-02-01,50,Neutral
2025-01-31,54,Neutral
2025-01-30,54,Neutral
2025-01-29,50,Neutral
2025-01-28,53,Neutral
2025-01-27,55,Neutral
2025-01-26,60,Greed
2025-01-25,61,Greed
2025-01-24,61,Greed
2025-01-23,60,Greed
2025-01-22,66,Greed
2025-01-21,59,Neutral
2025-01-20,58,Neutral
2025-01-19,64,Greed
2025-01-18,66,Greed
2025-01-17,57,Neutral
2025-01-16,60,Greed
2025-01-15,51,Neutral
2025-01-14,46,Neutral
2025-01-13,47,Neutral
2025-01-12,48,Neutral
2025-01-11,48,Neutral
2025-01-10,43,Neutral
2025-01-09,49,Neutral
2025-01-08,54,Neutral
2025-01-07,66,Greed
2025-01-06,60,Greed
2025-01-05,61,Greed
2025-01-04,60,Greed
2025-01-03,57,Neutral
2025-01-02,51,Neutral
2025-01-01,49,Neutral
2024-12-31,48,Neutral
2024-12-30,50,Neutral
2024-12-29,54,Neutral
2024-12-28,51,Neutral
2024-12-27,54,Neutral
2024-12-26,63,Greed
2024-12-25,62,Greed
2024-12-24,55,Neutral
2024-12-23,54,Neutral
2024-12-22,59,Neutral
2024-12-21,62,Greed
2024-12-20,62,Greed
2024-12-19,69,Greed
2024-12-18,80,Extreme greed
2024-12-17,81,Extreme greed
2024-12-16,80,Extreme greed
2024-12-15,77,Greed
2024-12-14,79,Greed
2024-12-13,78,Greed
2024-12-12,80,Extreme greed
2024-12-11,73,Greed
2024-12-10,76,Greed
2024-12-09,83,Extreme greed
2024-12-08,82,Extreme greed
2024-12-07,82,Extreme greed
2024-12-06,83,Extreme greed
2024-12-05,80,Extreme greed
2024-12-04,83,Extreme greed
2024-12-03,80,Extreme greed
2024-12-02,80,Extreme greed
2024-12-01,83,Extreme greed
2024-11-30,83,Extreme greed
2024-11-29,84,Extreme greed
2024-11-28,84,Extreme greed
2024-11-27,85,Extreme greed
2024-11-26,80,Extreme greed
2024-11-25,83,Extreme greed
2024-11-24,87,Extreme greed
2024-11-23,87,Extreme greed
2024-11-22,88,Extreme greed
2024-11-21,88,Extreme greed
2024-11-20,83,Extreme greed
2024-11-19,83,Extreme greed
2024-11-18,84,Extreme greed
2024-11-17,82,Extreme greed
2024-11-16,84,Extreme greed
2024-11-15,85,Extreme greed
2024-11-14,83,Extreme greed
2024-11-13,86,Extreme greed
2024-11-12,86,Extreme greed
2024-11-11,79,Greed
2024-11-10,74,Greed
2024-11-09,73,Greed
2024-11-08,72,Greed
2024-11-07,70,Greed
2024-11-06,62,Greed
2024-11-05,50,Neutral
2024-11-04,53,Neutral
2024-11-03,55,Neutral
2024-11-02,57,Neutral
2024-11-01,59,Neutral
2024-10-31,66,Greed
2024-10-30,67,Greed
2024-10-29,60,Greed
2024-10-28,54,Neutral
2024-10-27,52,Neutral
2024-10-26,50,Neutral
2024-10-25,56,Neutral
2024-10-24,52,Neutral
2024-10-23,56,Neutral
2024-10-22,57,Neutral
2024-10-21,63,Greed
2024-10-20,60,Greed
2024-10-19,61,Greed
2024-10-18,58,Neutral
2024-10-17,60,Greed
2024-10-16,58,Neutral
2024-10-15,56,Neutral
2024-10-14,45,Neutral
2024-10-13,46,Neutral
2024-10-12,43,Neutral
2024-10-11,37,Fear
2024-10-10,37,Fear
2024-10-09,42,Neutral
2024-10-08,41,Neutral
2024-10-07,43,Neutral
2024-10-06,41,Neutral
2024-10-05,41,Neutral
2024-10-04,36,Fear
2024-10-03,36,Fear
2024-10-02,39,Fear
